date,ticker,open,high,low,close,volume
2026-01-01,VCB,57500.0,57500.0,57500.0,57500.0,0
2026-01-02,VCB,57500.0,57500.0,57500.0,57500.0,0
2026-01-05,VCB,57500.0,57600.0,57000.0,57100.0,3591800
2026-01-06,VCB,57100.0,57500.0,56600.0,57300.0,4173200
2026-01-07,VCB,57600.0,59900.0,57500.0,59600.0,12918300
2026-01-08,VCB,59800.0,63700.0,59700.0,63700.0,27104600
2026-01-09,VCB,65400.0,68000.0,65400.0,68000.0,32481400
2026-01-12,VCB,69900.0,72700.0,69600.0,72700.0,21973100
2026-01-13,VCB,74300.0,76000.0,71800.0,74000.0,28198200
2026-01-14,VCB,73100.0,78800.0,73100.0,76000.0,21213600
2026-01-15,VCB,74000.0,74900.0,71900.0,71900.0,23227200
2026-01-16,VCB,73000.0,76000.0,72000.0,73000.0,13426500
2026-01-19,VCB,73000.0,73500.0,71600.0,72700.0,8212000
2026-01-20,VCB,74000.0,75000.0,72100.0,73500.0,18491600
2026-01-21,VCB,72800.0,73600.0,71700.0,72800.0,11179000
2026-01-22,VCB,73400.0,75900.0,70600.0,71000.0,18577500
2026-01-23,VCB,71000.0,71000.0,68500.0,68600.0,16804700
2026-01-26,VCB,68900.0,71100.0,68700.0,69600.0,10990600
2026-01-27,VCB,69700.0,71500.0,68100.0,70600.0,9645200
2026-01-28,VCB,71100.0,72900.0,69400.0,69600.0,12283200
2026-01-29,VCB,69300.0,70800.0,68600.0,69800.0,7855400
2026-01-30,VCB,70600.0,71900.0,69600.0,70500.0,11480700
2026-02-02,VCB,70500.0,71500.0,69300.0,71500.0,10711000
2026-02-03,VCB,72400.0,73300.0,71300.0,71800.0,15094700
2026-02-04,VCB,72000.0,72000.0,70500.0,70800.0,8726700
2026-02-05,VCB,70700.0,70800.0,68400.0,68400.0,11688700
2026-02-06,VCB,67900.0,67900.0,64900.0,65100.0,24570400
2026-02-09,VCB,65500.0,66000.0,64200.0,65000.0,7308900
2026-02-10,VCB,64500.0,65500.0,62600.0,63100.0,15811100
2026-02-11,VCB,64000.0,66600.0,63500.0,64700.0,11121200
2026-02-12,VCB,65500.0,65500.0,64200.0,64200.0,7950400
2026-02-13,VCB,64700.0,65100.0,64000.0,64400.0,4951400
2026-02-16,VCB,64400.0,64400.0,64400.0,64400.0,0
2026-02-17,VCB,64400.0,64400.0,64400.0,64400.0,0
2026-02-18,VCB,64400.0,64400.0,64400.0,64400.0,0
2026-02-19,VCB,64400.0,64400.0,64400.0,64400.0,0
2026-02-20,VCB,64400.0,64400.0,64400.0,64400.0,0
2026-02-23,VCB,65000.0,66700.0,64600.0,66400.0,10104200
2026-02-24,VCB,66600.0,66600.0,64900.0,65000.0,10246500
2026-02-25,VCB,65000.0,66500.0,64700.0,65100.0,9488800
2026-02-26,VCB,65200.0,65900.0,65000.0,65400.0,7561900
2026-02-27,VCB,65500.0,66400.0,64800.0,64900.0,8831200
2026-03-02,VCB,62900.0,63900.0,62900.0,62900.0,17105000
2026-03-03,VCB,62900.0,63900.0,62900.0,62900.0,17105000
2026-03-04,VCB,61800.0,63200.0,61700.0,63000.0,10259500
2026-03-05,VCB,63700.0,63700.0,62500.0,62500.0,6037000
2026-03-06,VCB,62000.0,63200.0,61600.0,61600.0,8854200
2026-03-09,VCB,57400.0,59700.0,57300.0,57300.0,29396000
2026-03-10,VCB,59800.0,60900.0,58800.0,60400.0,11524700
2026-03-11,VCB,60500.0,61200.0,60000.0,60400.0,8789200
2026-03-12,VCB,60200.0,60300.0,59500.0,59800.0,6217000
2026-03-13,VCB,59200.0,60100.0,58900.0,59000.0,5656900
2026-03-16,VCB,59300.0,59800.0,58600.0,58800.0,3985900
2026-03-17,VCB,59500.0,60500.0,59400.0,60500.0,7148800
2026-03-18,VCB,60900.0,62000.0,60000.0,60500.0,8225000
2026-03-19,VCB,59700.0,60000.0,59000.0,59800.0,6184000
2026-03-20,VCB,59800.0,59800.0,58000.0,58000.0,8322900
2026-03-23,VCB,57800.0,58300.0,56500.0,57600.0,9648600
2026-03-24,VCB,59000.0,59000.0,58000.0,58200.0,4332300
2026-03-25,VCB,58800.0,59100.0,58000.0,58400.0,8558200
2026-03-26,VCB,58500.0,58600.0,57500.0,57900.0,6217800
2026-03-27,VCB,58000.0,59000.0,57900.0,58800.0,6135900
2026-03-30,VCB,57900.0,58500.0,57800.0,58000.0,5546000
2026-03-31,VCB,58200.0,58900.0,58000.0,58100.0,5481100
2026-04-01,VCB,58900.0,59200.0,58500.0,59000.0,8254700
2026-04-02,VCB,58700.0,58800.0,58100.0,58200.0,5664500
2026-04-03,VCB,58300.0,58500.0,57700.0,57700.0,5919600
2026-04-06,VCB,57800.0,58200.0,57700.0,58000.0,4303300
2026-04-07,VCB,58000.0,58300.0,57700.0,58000.0,3889100
2026-04-08,VCB,59200.0,60300.0,58800.0,60200.0,13743100
2026-04-09,VCB,60000.0,60100.0,59300.0,59400.0,6217700
2026-04-10,VCB,59600.0,61000.0,59600.0,59800.0,7655400
2026-04-13,VCB,59500.0,59500.0,59000.0,59200.0,5088700
2026-04-14,VCB,59700.0,59800.0,59100.0,59300.0,5548100
2026-04-15,VCB,59700.0,60500.0,59600.0,59900.0,8919600
2026-04-16,VCB,60000.0,60100.0,59300.0,59400.0,4174500
2026-04-17,VCB,59400.0,59900.0,59400.0,59500.0,4257800
2026-04-20,VCB,59600.0,60500.0,59500.0,60100.0,6442900
2026-04-21,VCB,60400.0,60600.0,59600.0,59600.0,6379000
2026-04-22,VCB,59600.0,59800.0,59200.0,59400.0,3011000
2026-04-23,VCB,59700.0,63500.0,59600.0,62800.0,35200000
2026-04-24,VCB,63000.0,63000.0,60600.0,60600.0,11882500
2026-04-27,VCB,60600.0,60600.0,60600.0,60600.0,0
2026-04-28,VCB,60800.0,61500.0,59800.0,59800.0,7596400
2026-04-29,VCB,59900.0,60500.0,59500.0,59800.0,6431000
2026-04-30,VCB,59800.0,59800.0,59800.0,59800.0,0
2026-05-01,VCB,59800.0,59800.0,59800.0,59800.0,0
2026-05-04,VCB,60500.0,61200.0,60000.0,60700.0,7506200
2026-05-05,VCB,60600.0,60700.0,59700.0,59900.0,6407700
2026-05-06,VCB,60200.0,60500.0,59700.0,60500.0,5807400
2026-05-07,VCB,60900.0,61100.0,60300.0,60300.0,6055700
2026-05-08,VCB,60500.0,61700.0,60300.0,60700.0,9970000
2026-05-11,VCB,61000.0,61100.0,60200.0,60300.0,5510000
2026-05-12,VCB,60300.0,60500.0,59500.0,59900.0,6549200
2026-05-13,VCB,59700.0,61300.0,59200.0,60100.0,8868000
2026-05-14,VCB,60500.0,61500.0,60000.0,61000.0,5612100
2026-05-15,VCB,61300.0,61700.0,60700.0,60700.0,8271800
2026-05-18,VCB,60700.0,63500.0,60300.0,63200.0,18877600
2026-05-19,VCB,63400.0,65000.0,62600.0,64400.0,24224800
2026-05-20,VCB,63700.0,64700.0,61800.0,64600.0,14381600
2026-05-21,VCB,64600.0,66200.0,63800.0,64900.0,20114300
2026-05-22,VCB,64900.0,64900.0,63300.0,63500.0,8118400
2026-05-25,VCB,63200.0,64000.0,62100.0,63700.0,5410300
2026-05-26,VCB,63300.0,64400.0,63300.0,64400.0,5623900
2026-05-27,VCB,64400.0,64500.0,63800.0,64200.0,4185600
2026-05-28,VCB,64200.0,64200.0,62800.0,62800.0,4972400
2026-05-29,VCB,63000.0,63000.0,61800.0,62000.0,5820000
2026-06-01,VCB,62300.0,62800.0,61700.0,62200.0,2924300
2026-06-02,VCB,62300.0,62700.0,61600.0,61600.0,5063900
2026-06-03,VCB,61700.0,62500.0,61400.0,61900.0,4431300
