ticker,price,open,high,low,volume,change,pct_change,date
VIC,195100.0,198500.0,198700.0,195000.0,466926,-900.0,-0.46,2026-06-12
VHM,144500.0,146500.0,147200.0,144300.0,601838,0.0,0.0,2026-06-12
VNM,59500.0,59300.0,59800.0,59300.0,1149134,300.0,0.51,2026-06-12
HPG,23400.0,23550.0,23550.0,23400.0,3246558,100.0,0.43,2026-06-12
MWG,77200.0,77800.0,77800.0,77000.0,958693,300.0,0.39,2026-06-12
TCB,31200.0,31300.0,31300.0,31050.0,3745032,350.0,1.13,2026-06-12
VCB,61800.0,61900.0,62100.0,61600.0,775629,200.0,0.32,2026-06-12
BID,41400.0,41800.0,41900.0,41400.0,959404,0.0,0.0,2026-06-12
CTG,33500.0,33550.0,33650.0,33500.0,1369708,150.0,0.45,2026-06-12
FPT,74000.0,73600.0,74300.0,73500.0,1974532,900.0,1.23,2026-06-12
