ticker,price,open,high,low,volume,change,pct_change,date
VIC,196000.0,198500.0,198700.0,194900.0,693744,0.0,0.0,2026-06-12
VHM,144600.0,146500.0,147200.0,144300.0,907181,100.0,0.07,2026-06-12
VNM,59600.0,59300.0,59800.0,59300.0,1515775,400.0,0.68,2026-06-12
HPG,23400.0,23550.0,23550.0,23350.0,4615966,100.0,0.43,2026-06-12
MWG,76800.0,77800.0,77800.0,76700.0,1751568,-100.0,-0.13,2026-06-12
TCB,31450.0,31300.0,31450.0,31050.0,9163204,600.0,1.94,2026-06-12
VCB,61800.0,61900.0,62100.0,61600.0,1262350,200.0,0.32,2026-06-12
BID,41400.0,41800.0,41900.0,41400.0,1250874,0.0,0.0,2026-06-12
CTG,33450.0,33550.0,33650.0,33450.0,2081944,100.0,0.3,2026-06-12
FPT,73800.0,73600.0,74300.0,73500.0,2511060,700.0,0.96,2026-06-12
