date,ticker,open,high,low,close,volume
2026-01-01,MWG,88400.0,88400.0,88400.0,88400.0,0
2026-01-02,MWG,88400.0,88400.0,88400.0,88400.0,0
2026-01-05,MWG,87900.0,88200.0,85800.0,87400.0,5947300
2026-01-06,MWG,86800.0,89300.0,86800.0,88800.0,6390700
2026-01-07,MWG,89000.0,89900.0,88300.0,89800.0,4998000
2026-01-08,MWG,89800.0,89800.0,86200.0,87500.0,10543900
2026-01-09,MWG,86400.0,87500.0,85600.0,86000.0,6472200
2026-01-12,MWG,86000.0,87500.0,85000.0,87500.0,8471500
2026-01-13,MWG,87500.0,88700.0,86200.0,87100.0,6657100
2026-01-14,MWG,87100.0,87300.0,85100.0,86000.0,6951400
2026-01-15,MWG,85000.0,86900.0,84000.0,84000.0,7636600
2026-01-16,MWG,83800.0,87400.0,83800.0,87000.0,7671600
2026-01-19,MWG,87400.0,87400.0,85500.0,86700.0,3055300
2026-01-20,MWG,86700.0,88300.0,86000.0,86000.0,6841300
2026-01-21,MWG,85900.0,85900.0,84400.0,85400.0,5383600
2026-01-22,MWG,85000.0,86600.0,85000.0,86500.0,5450600
2026-01-23,MWG,86600.0,87700.0,85800.0,85800.0,6722800
2026-01-26,MWG,85800.0,85900.0,83900.0,84100.0,6030600
2026-01-27,MWG,84200.0,85800.0,84000.0,85000.0,5418600
2026-01-28,MWG,84900.0,85800.0,84300.0,85500.0,6085200
2026-01-29,MWG,85700.0,89500.0,85300.0,89500.0,15892000
2026-01-30,MWG,90000.0,93400.0,89800.0,92900.0,20845900
2026-02-02,MWG,93100.0,93900.0,90500.0,93700.0,13866200
2026-02-03,MWG,94400.0,94400.0,91500.0,91500.0,10130300
2026-02-04,MWG,91500.0,91900.0,90600.0,91800.0,7656400
2026-02-05,MWG,91700.0,91800.0,90200.0,90200.0,5643400
2026-02-06,MWG,89700.0,89900.0,86000.0,88400.0,13814700
2026-02-09,MWG,89000.0,90000.0,88500.0,89300.0,5452400
2026-02-10,MWG,89700.0,89700.0,87800.0,89300.0,5950600
2026-02-11,MWG,89500.0,91900.0,89300.0,91900.0,8987000
2026-02-12,MWG,92500.0,93900.0,91100.0,92900.0,7890300
2026-02-13,MWG,91900.0,93200.0,91500.0,92800.0,5511500
2026-02-16,MWG,92800.0,92800.0,92800.0,92800.0,0
2026-02-17,MWG,92800.0,92800.0,92800.0,92800.0,0
2026-02-18,MWG,92800.0,92800.0,92800.0,92800.0,0
2026-02-19,MWG,92800.0,92800.0,92800.0,92800.0,0
2026-02-20,MWG,92800.0,92800.0,92800.0,92800.0,0
2026-02-23,MWG,92900.0,93100.0,91100.0,92000.0,5003100
2026-02-24,MWG,91600.0,92200.0,90500.0,92200.0,6601300
2026-02-25,MWG,92200.0,94100.0,92000.0,93000.0,8132700
2026-02-26,MWG,93000.0,94300.0,92500.0,93600.0,5011100
2026-02-27,MWG,93700.0,93900.0,92600.0,93100.0,5224300
2026-03-02,MWG,91800.0,92200.0,90000.0,90000.0,10738700
2026-03-03,MWG,91800.0,92200.0,90000.0,90000.0,10738700
2026-03-04,MWG,87100.0,88800.0,83800.0,88800.0,13414100
2026-03-05,MWG,88900.0,89000.0,85200.0,85200.0,11270500
2026-03-06,MWG,84800.0,84800.0,81700.0,82700.0,13359400
2026-03-09,MWG,77000.0,77000.0,77000.0,77000.0,4983800
2026-03-10,MWG,79000.0,81800.0,77400.0,81000.0,21042400
2026-03-11,MWG,81000.0,86600.0,80500.0,86500.0,17339300
2026-03-12,MWG,84000.0,86500.0,83100.0,84600.0,10104500
2026-03-13,MWG,84500.0,84500.0,82000.0,82000.0,6260000
2026-03-16,MWG,81900.0,82200.0,80400.0,80600.0,5282300
2026-03-17,MWG,81500.0,83800.0,81500.0,82700.0,3811100
2026-03-18,MWG,82800.0,84300.0,82400.0,83700.0,4304400
2026-03-19,MWG,82000.0,82600.0,81400.0,82400.0,7916000
2026-03-20,MWG,82100.0,82100.0,79700.0,79700.0,6488600
2026-03-23,MWG,78000.0,78100.0,74200.0,74200.0,17473900
2026-03-24,MWG,76600.0,76800.0,75000.0,76000.0,7903300
2026-03-25,MWG,77000.0,79500.0,76800.0,79200.0,7550200
2026-03-26,MWG,78000.0,78900.0,77400.0,78500.0,7066800
2026-03-27,MWG,78600.0,81800.0,78200.0,81000.0,7595000
2026-03-30,MWG,78900.0,80800.0,78600.0,80800.0,6027600
2026-03-31,MWG,80800.0,82100.0,80500.0,81800.0,6582900
2026-04-01,MWG,83000.0,83900.0,81800.0,82400.0,5736600
