date,ticker,open,high,low,close,volume
2026-01-01,VHM,124000.0,124000.0,124000.0,124000.0,0
2026-01-02,VHM,124000.0,124000.0,124000.0,124000.0,0
2026-01-05,VHM,126800.0,132600.0,125200.0,132600.0,10136200
2026-01-06,VHM,138500.0,141800.0,136500.0,141800.0,8459900
2026-01-07,VHM,150000.0,150900.0,141000.0,149500.0,9511500
2026-01-08,VHM,150300.0,150900.0,139100.0,139100.0,15234400
2026-01-09,VHM,138600.0,142800.0,132600.0,140000.0,9789300
2026-01-12,VHM,139000.0,139000.0,130200.0,130200.0,9143600
2026-01-13,VHM,125700.0,134900.0,125700.0,134000.0,9148500
2026-01-14,VHM,134900.0,134900.0,124700.0,126300.0,11385300
2026-01-15,VHM,124000.0,124000.0,117500.0,120000.0,19255700
2026-01-16,VHM,121100.0,126800.0,121100.0,124100.0,5774400
2026-01-19,VHM,126900.0,126900.0,120500.0,125000.0,5284700
2026-01-20,VHM,124100.0,124500.0,119700.0,123000.0,7006400
2026-01-21,VHM,121000.0,126000.0,120300.0,122900.0,9321600
2026-01-22,VHM,120100.0,122900.0,118500.0,120500.0,7971100
2026-01-23,VHM,122100.0,127500.0,121100.0,122500.0,7272600
2026-01-26,VHM,124000.0,124100.0,116100.0,118900.0,4159000
2026-01-27,VHM,117500.0,118000.0,110600.0,110600.0,10162000
2026-01-28,VHM,108100.0,109000.0,102900.0,104300.0,15508700
2026-01-29,VHM,104500.0,107400.0,104100.0,107000.0,6368800
2026-01-30,VHM,107000.0,107400.0,104000.0,106000.0,4714200
2026-02-02,VHM,107100.0,107300.0,98600.0,98600.0,9144500
2026-02-03,VHM,96100.0,102000.0,95500.0,97300.0,9348800
2026-02-04,VHM,97500.0,98000.0,90800.0,91300.0,13582800
2026-02-05,VHM,91200.0,97600.0,91200.0,97600.0,9429200
2026-02-06,VHM,97600.0,101800.0,95100.0,97500.0,8492200
2026-02-09,VHM,97900.0,97900.0,93100.0,95000.0,4463200
2026-02-10,VHM,94600.0,101600.0,94000.0,101300.0,8656800
2026-02-11,VHM,102500.0,104500.0,102400.0,103000.0,6203200
2026-02-12,VHM,103600.0,109300.0,102100.0,109000.0,6584900
2026-02-13,VHM,109700.0,109800.0,105300.0,109000.0,6244700
2026-02-16,VHM,109000.0,109000.0,109000.0,109000.0,0
2026-02-17,VHM,109000.0,109000.0,109000.0,109000.0,0
2026-02-18,VHM,109000.0,109000.0,109000.0,109000.0,0
2026-02-19,VHM,109000.0,109000.0,109000.0,109000.0,0
2026-02-20,VHM,109000.0,109000.0,109000.0,109000.0,0
2026-02-23,VHM,109100.0,111400.0,108000.0,110700.0,3679400
2026-02-24,VHM,110500.0,111000.0,107100.0,111000.0,4723800
2026-02-25,VHM,110600.0,110600.0,106400.0,107000.0,5547800
2026-02-26,VHM,106000.0,112900.0,105600.0,107600.0,6157600
2026-02-27,VHM,108000.0,109500.0,104600.0,108000.0,4915000
2026-03-02,VHM,102500.0,105100.0,100500.0,100500.0,6578000
2026-03-03,VHM,102500.0,105100.0,100500.0,100500.0,6578000
2026-03-04,VHM,91400.0,94900.0,87000.0,93500.0,12722700
2026-03-05,VHM,95400.0,99000.0,93300.0,95000.0,8978700
2026-03-06,VHM,95000.0,96500.0,93000.0,95000.0,6979200
2026-03-09,VHM,88500.0,91100.0,88400.0,88400.0,17232900
2026-03-10,VHM,90300.0,92900.0,88300.0,89800.0,5665600
2026-03-11,VHM,89200.0,95900.0,89200.0,95900.0,6734300
2026-03-12,VHM,93700.0,95900.0,93500.0,95900.0,4137400
2026-03-13,VHM,94500.0,98000.0,93900.0,98000.0,3989100
2026-03-16,VHM,98000.0,102400.0,96900.0,100000.0,4947300
2026-03-17,VHM,101900.0,104400.0,100800.0,102000.0,4359000
2026-03-18,VHM,102200.0,105500.0,101500.0,102000.0,4511300
2026-03-19,VHM,101900.0,103500.0,100500.0,102300.0,4596600
2026-03-20,VHM,102000.0,102000.0,97000.0,100000.0,6142200
2026-03-23,VHM,99000.0,99000.0,93000.0,98000.0,6595700
2026-03-24,VHM,99400.0,99600.0,96500.0,99000.0,2699500
2026-03-25,VHM,100900.0,104200.0,99200.0,104200.0,4327400
2026-03-26,VHM,104300.0,104300.0,101100.0,101100.0,2742600
