date,ticker,open,high,low,close,volume
2026-01-01,VNM,61200.0,61200.0,61200.0,61200.0,0
2026-01-02,VNM,61200.0,61200.0,61200.0,61200.0,0
2026-01-05,VNM,61300.0,61500.0,60000.0,60300.0,2814700
2026-01-06,VNM,60500.0,60900.0,60300.0,60800.0,2963300
2026-01-07,VNM,60800.0,61500.0,60500.0,60900.0,3228100
2026-01-08,VNM,61100.0,63400.0,61100.0,62200.0,5636400
2026-01-09,VNM,62400.0,62500.0,61000.0,61000.0,4184100
2026-01-12,VNM,61100.0,62700.0,61100.0,62700.0,4146300
2026-01-13,VNM,62900.0,64900.0,62800.0,63300.0,6761300
2026-01-14,VNM,63600.0,67700.0,63400.0,67700.0,24838300
2026-01-15,VNM,70000.0,72400.0,69500.0,71000.0,19260600
2026-01-16,VNM,71100.0,73000.0,69100.0,69600.0,13372500
2026-01-19,VNM,69800.0,71000.0,68300.0,70600.0,10385300
2026-01-20,VNM,71500.0,75500.0,71100.0,73400.0,21521900
2026-01-21,VNM,73000.0,73000.0,70000.0,70300.0,11234100
2026-01-22,VNM,71100.0,72800.0,70000.0,70900.0,8055200
2026-01-23,VNM,69400.0,70100.0,67200.0,67200.0,16050400
2026-01-26,VNM,67400.0,69300.0,67400.0,68900.0,8864800
2026-01-27,VNM,68400.0,68600.0,66100.0,67700.0,8357800
2026-01-28,VNM,67700.0,69500.0,67200.0,67700.0,9816800
2026-01-29,VNM,68500.0,71100.0,67900.0,71100.0,10036800
2026-01-30,VNM,71500.0,72500.0,70500.0,70600.0,7844800
2026-02-02,VNM,70900.0,72600.0,70300.0,72600.0,10777700
2026-02-03,VNM,72900.0,73600.0,71300.0,71600.0,7261000
2026-02-04,VNM,71800.0,72600.0,70800.0,72000.0,7672500
2026-02-05,VNM,71900.0,72200.0,69100.0,69100.0,8057000
2026-02-06,VNM,68300.0,70700.0,68200.0,69100.0,6695900
2026-02-09,VNM,69400.0,70400.0,69300.0,69600.0,2573300
2026-02-10,VNM,69600.0,70500.0,68100.0,68400.0,5090400
2026-02-11,VNM,68400.0,69900.0,68400.0,69100.0,2672900
2026-02-12,VNM,69300.0,69800.0,69000.0,69000.0,1951100
2026-02-13,VNM,69000.0,69800.0,68600.0,69500.0,3341400
2026-02-16,VNM,69500.0,69500.0,69500.0,69500.0,0
2026-02-17,VNM,69500.0,69500.0,69500.0,69500.0,0
2026-02-18,VNM,69500.0,69500.0,69500.0,69500.0,0
2026-02-19,VNM,69500.0,69500.0,69500.0,69500.0,0
2026-02-20,VNM,69500.0,69500.0,69500.0,69500.0,0
2026-02-23,VNM,70000.0,71300.0,69800.0,70600.0,4211800
2026-02-24,VNM,70600.0,71300.0,70200.0,70200.0,3552500
2026-02-25,VNM,70400.0,73400.0,70400.0,72300.0,9804200
2026-02-26,VNM,71200.0,71400.0,69600.0,70600.0,14298200
2026-02-27,VNM,70200.0,70600.0,68000.0,68200.0,13371400
2026-03-02,VNM,66900.0,69800.0,66500.0,66600.0,12468700
2026-03-03,VNM,66900.0,69800.0,66500.0,66600.0,12468700
2026-03-04,VNM,63400.0,64900.0,62000.0,64900.0,13382500
2026-03-05,VNM,65000.0,65200.0,63000.0,63200.0,8165700
2026-03-06,VNM,63000.0,63000.0,62200.0,62400.0,6471800
2026-03-09,VNM,59000.0,59100.0,58100.0,58100.0,18046300
2026-03-10,VNM,60000.0,62100.0,59500.0,62100.0,10762100
2026-03-11,VNM,61700.0,63700.0,61600.0,63000.0,7507500
2026-03-12,VNM,62000.0,62700.0,61300.0,61600.0,6298800
