date,ticker,open,high,low,close,volume
2026-01-01,CTG,35750.0,35750.0,35750.0,35750.0,0
2026-01-02,CTG,35750.0,35750.0,35750.0,35750.0,0
2026-01-05,CTG,35800.0,36100.0,34550.0,35500.0,10427300
2026-01-06,CTG,35400.0,36200.0,34800.0,36200.0,14857900
2026-01-07,CTG,36400.0,37500.0,36350.0,37450.0,22144400
2026-01-08,CTG,37550.0,39500.0,37100.0,38200.0,31939500
2026-01-09,CTG,39000.0,40850.0,38700.0,40750.0,38922900
2026-01-12,CTG,42000.0,43500.0,41350.0,41500.0,37246900
2026-01-13,CTG,41500.0,42350.0,40000.0,41300.0,32378300
2026-01-14,CTG,40800.0,43250.0,40650.0,41450.0,30568900
2026-01-15,CTG,40500.0,41000.0,39600.0,40000.0,28177000
2026-01-16,CTG,40700.0,41550.0,39500.0,39600.0,21678400
2026-01-19,CTG,39650.0,40350.0,39550.0,40000.0,13549500
2026-01-20,CTG,40450.0,40600.0,39650.0,39650.0,18904200
2026-01-21,CTG,39550.0,40550.0,39000.0,40200.0,20390200
2026-01-22,CTG,40400.0,41300.0,39850.0,39900.0,21656100
2026-01-23,CTG,40000.0,40050.0,38850.0,39000.0,17979800
2026-01-26,CTG,39050.0,39150.0,38050.0,38200.0,17221600
2026-01-27,CTG,38200.0,38650.0,38100.0,38250.0,12601700
2026-01-28,CTG,38350.0,39650.0,38300.0,38400.0,15308300
2026-01-29,CTG,38500.0,38900.0,38100.0,38300.0,10027200
2026-01-30,CTG,38200.0,39000.0,37800.0,38750.0,28474900
2026-02-02,CTG,38800.0,39800.0,38700.0,39350.0,23383000
2026-02-03,CTG,39750.0,40300.0,39300.0,39700.0,23670600
2026-02-04,CTG,39900.0,39900.0,39150.0,39600.0,18233300
2026-02-05,CTG,39650.0,39700.0,38600.0,38600.0,16072100
2026-02-06,CTG,38200.0,38350.0,37400.0,37400.0,24838700
2026-02-09,CTG,37700.0,37850.0,36800.0,37100.0,9918300
2026-02-10,CTG,37500.0,37600.0,36650.0,37100.0,12648100
2026-02-11,CTG,37450.0,38250.0,37300.0,37900.0,13723100
2026-02-12,CTG,38300.0,38300.0,37750.0,38000.0,8656700
2026-02-13,CTG,38000.0,38600.0,37700.0,38600.0,9259700
2026-02-16,CTG,38600.0,38600.0,38600.0,38600.0,0
2026-02-17,CTG,38600.0,38600.0,38600.0,38600.0,0
2026-02-18,CTG,38600.0,38600.0,38600.0,38600.0,0
2026-02-19,CTG,38600.0,38600.0,38600.0,38600.0,0
2026-02-20,CTG,38600.0,38600.0,38600.0,38600.0,0
2026-02-23,CTG,38950.0,39000.0,38550.0,38700.0,8379600
2026-02-24,CTG,38550.0,38700.0,38050.0,38200.0,12133300
2026-02-25,CTG,38350.0,39100.0,38200.0,38500.0,10573600
2026-02-26,CTG,38550.0,38750.0,38050.0,38500.0,11489400
2026-02-27,CTG,38450.0,38450.0,38050.0,38250.0,8888400
2026-03-02,CTG,37500.0,37850.0,36850.0,36850.0,25730000
2026-03-03,CTG,37500.0,37850.0,36850.0,36850.0,25730000
2026-03-04,CTG,35750.0,36700.0,35450.0,36400.0,19451000
